Network;Citation
AACES;Peischl, S., Walker, J. P., Ruediger, C., Ye, N., Kerr, Y. H., Kim, E., Bandara, R., and Allahmoradi, M.: The AACES field experiments: SMOS calibration and validation across the Murrumbidgee River catchment, Hydrology and Earth System Sciences, Discuss., 9, 2763-2795, doi:10.5194/hessd-9-2763-2012, 2012
AACES;Ruediger, C., Hancock, G., Hemakumara, H., Jacobs, B., Kalma, J., Martinez, C., Thyer, M., Walker, J., Wells, T. & Willgoose, G. (2007), ‘Goulburn river experimental catchment data set’, Water Resources Research 43.
AMMA-CATCH;Galle, S., Manuela, G., Peugeot, C., Bouzou-Moussa, I., Cappelaere, B., Demarty, J., Mougin, E., Panthou, G., Adjomayi, P., Agbossou, E., Abdramane, B., Boucher, M., Cohard, J.-M., Descloitres, M., Descroix, L., Diawara, M., Do, M., Favreau, G., Fabrice, G. & Wilcox, C. (2018), ‘Amma-catch, a critical zone observatory in west africa monitoring a region in transition’, Vadose Zone Journal 17(1), 1–24.
AMMA-CATCH;Pellarin T., J.P. Laurent, B. Cappelaere, B. Decharme, L. Descroix, D. Ramier, 2009 : Hydrological modelling and associated microwave emission of a semi-arid region in South-western Niger, /Journal of Hydrology/, vol. 375, 1-2, 262-272, 2009
AMMA-CATCH;Mougin, E., Hiernaux, P., Kergoat, L., Grippa, M., de Rosnay, P., Timouk, F., Le Dantec, V., Demarez, V., Lavenu, F., Arjounin, M., Lebel, T. et al., 2009. The AMMA-CATCH Gourma observatory site in Mali: Relating climatic variations to changes in vegetation, surface in press, hydrology, fluxes and natural resources. Journal of Hydrology, 375(1-2): 14-33
AMMA-CATCH;Cappelaere, C., Descroix, L., Lebel, T., Boulain, N., Ramier, D., Laurent, J.-P., Le Breton, E., Boubkraoui, S., Bouzou Moussa, I. et al., 2009. The AMMA Catch observing system in the cultivated Sahel of South West Niger- Strategy, Implementation and Site conditions, 2009. Journal of Hydrology, 375(1-2): 34-51
AMMA-CATCH;de Rosnay, P., Gruhier, C., Timouk, F., Baup, F., Mougin, E., Hiernaux, P., Kergoat, L., and LeDantec, V.: Multi-scale soil moisture measurements at the Gourma meso-scale site in Mali, Journal of Hydrology, 375, 241-252, 2009
AMMA-CATCH;Lebel, Thierry, Cappelaere, Bernard, Galle, Sylvie, Hanan, Niall, Kergoat, Laurent, Levis, Samuel, Vieux, Baxter, Descroix, Luc, Gosset, Marielle, Mougin, Eric, Peugeot, Christophe and Seguis, Luc, 2009: AMMA-CATCH studies in the Sahelian region of West-Africa: An overview. JOURNAL OF HYDROLOGY, 375, 3-13.
ARM;Cook, D. R. (2016a), Soil temperature and moisture profile (stamp) system handbook, Technical report, DOE Office of Science Atmospheric Radiation Measurement (ARM) Program.
ARM;Cook, D. R. (2016b), Soil water and temperature system (swats) instrument handbook, Technical report, DOE Office of Science Atmospheric Radiation Measurement (ARM) Program.
ARM;Cook, D. R. & Sullivan, R. C. (2018), Surface energy balance system (sebs) instrument handbook, Technical report, DOE Office of Science Atmospheric Radiation Measurement (ARM) Program.
AWDS;We acknowledge the work of Natalie Umphlett (http://www.hprcc.unl.edu/awdn.php) in support of the ISMN.
BIEBRZA_S-1;Musial, J. P., Dabrowska-Zielinska, K., Kiryla, W., Oleszczuk, R., Gnatowski, T. & Jaszczynski, J. (2016), ‘Derivation and validation of the high resolution satellite soil moisture products: a case study of the biebrza sentinel-1 validation sites’, Geoinformation Issues 8(1 (8)), 37–53.
BNZ-LTER;Van Cleve, Keith, Chapin, F.S. Stuart, Ruess, Roger W. 2015. Bonanza Creek Long Term Ecological Research Project Climate Database - University of Alaska Fairbanks.
BNZ-LTER;Bonanza Creek Long Term Ecological Research Project Climate Database. 2015. University of Alaska Fairbanks.
CALABRIA;Brocca, L., Hasenauer, S., Lacava, T., Melone, F., Moramarco, T., Wagner, W., A, D., Matgen, P., Martinez-Fernandez, J., Llorens, P., Latron, J., Martin, C. & Bittelli, M. (2011), ‘Soil moisture estimation through ascat and amsr-e sensors: An intercomparison and validation study across europe’, Remote Sensing of Environment 115, 3390–3408.
CAMPANIA;Brocca, L., Hasenauer, S., Lacava, T., Melone, F., Moramarco, T., Wagner, W., A, D., Matgen, P., Martinez-Fernandez, J., Llorens, P., Latron, J., Martin, C. & Bittelli, M. (2011), ‘Soil moisture estimation through ascat and amsr-e sensors: An intercomparison and validation study across europe’, Remote Sensing of Environment 115, 3390–3408.
CHINA;Liu S., Mo X, Li H., Peng G., Robock A. 2001  The spatial variation of soil moisture in China:Geostatistical Characteristics. Journal of the Meteorological Society of Japan , 79 (2B) 555-574
CHINA;Robock, Alan, Konstantin Y. Vinnikov, Govindarajalu Srinivasan, Jared K. Entin, Steven E. Hollinger, Nina A. Speranskaya, Suxia Liu, and A. Namkhai, 2000: The Global Soil Moisture Data Bank. Bull. Amer. Meteorol. Soc., 81, 1281-1299
